# x	y	u	v	flags	mask
1.4400e+02	1.8240e+03	1.8545e+00	-1.2395e+00	0.0000e+00	0.0000e+00
2.0000e+02	1.8240e+03	7.5903e+00	-1.5798e+01	0.0000e+00	0.0000e+00
2.5600e+02	1.8240e+03	1.5562e+01	-1.5522e+01	0.0000e+00	0.0000e+00
3.1200e+02	1.8240e+03	-1.1851e+00	3.5614e+00	0.0000e+00	0.0000e+00
3.6800e+02	1.8240e+03	-1.7003e+00	-1.1452e+01	0.0000e+00	0.0000e+00
4.2400e+02	1.8240e+03	8.2228e-02	-4.4540e-01	0.0000e+00	0.0000e+00
4.8000e+02	1.8240e+03	1.6052e+01	6.2249e-01	0.0000e+00	0.0000e+00
5.3600e+02	1.8240e+03	-1.3236e+01	-2.9002e+00	0.0000e+00	0.0000e+00
5.9200e+02	1.8240e+03	7.7069e-01	-4.2464e+00	0.0000e+00	0.0000e+00
6.4800e+02	1.8240e+03	8.8312e-02	5.8454e-01	0.0000e+00	0.0000e+00
7.0400e+02	1.8240e+03	-1.7632e+01	1.4953e+01	0.0000e+00	0.0000e+00
7.6000e+02	1.8240e+03	5.8789e-01	-1.5597e+01	0.0000e+00	0.0000e+00
8.1600e+02	1.8240e+03	4.0460e+00	1.1995e+00	0.0000e+00	0.0000e+00
8.7200e+02	1.8240e+03	1.2798e+01	7.4079e-01	0.0000e+00	0.0000e+00
9.2800e+02	1.8240e+03	-4.7511e+00	1.1240e+00	0.0000e+00	0.0000e+00
9.8400e+02	1.8240e+03	-2.8864e+01	2.1235e+01	0.0000e+00	0.0000e+00
1.0400e+03	1.8240e+03	-2.8901e+00	-1.8399e+00	0.0000e+00	0.0000e+00
3.2000e+01	1.7680e+03	-1.5595e+01	8.9241e+00	0.0000e+00	0.0000e+00
8.8000e+01	1.7680e+03	-6.2710e-02	7.1895e-02	0.0000e+00	0.0000e+00
1.4400e+02	1.7680e+03	1.1331e+01	-1.5520e+01	0.0000e+00	0.0000e+00
2.0000e+02	1.7680e+03	1.4144e+01	-1.1553e+01	0.0000e+00	0.0000e+00
2.5600e+02	1.7680e+03	1.5640e+01	1.1475e+01	0.0000e+00	0.0000e+00
3.1200e+02	1.7680e+03	2.5986e+01	1.2201e+01	0.0000e+00	0.0000e+00
3.6800e+02	1.7680e+03	-2.6684e+01	-1.4224e+01	0.0000e+00	0.0000e+00
